i,j,k,x_center_m,y_center_m,z_center_m,temperature_k
23,14,1,0.0225,0.0135,0.0005,300.0005466065043
24,14,1,0.0235,0.0135,0.0005,300.0001827567361
25,14,1,0.0245,0.0135,0.0005,300.00005814347463
26,14,1,0.025500000000000002,0.0135,0.0005,300.00001760930076
27,14,1,0.0265,0.0135,0.0005,300.0000050788935
28,14,1,0.0275,0.0135,0.0005,300.0000013955357
29,14,1,0.0285,0.0135,0.0005,300.00000036542866
30,14,1,0.029500000000000002,0.0135,0.0005,300.0000000912208
31,14,1,0.0305,0.0135,0.0005,300.00000002174033
32,14,1,0.0315,0.0135,0.0005,300.0000000052829
1,15,1,0.0005,0.0145,0.0005,338.44461923058236
2,15,1,0.0015,0.0145,0.0005,336.8654279555567
3,15,1,0.0025,0.0145,0.0005,334.5377192982859
4,15,1,0.0035,0.0145,0.0005,331.42524726858727
5,15,1,0.0045000000000000005,0.0145,0.0005,327.61629454478265
6,15,1,0.0055,0.0145,0.0005,323.3257711463436
7,15,1,0.006500000000000001,0.0145,0.0005,318.85915605813875
8,15,1,0.0075,0.0145,0.0005,314.54833446728577
9,15,1,0.0085,0.0145,0.0005,310.6814611112626
