x_index,y_index,z_index,temperature_k,source_tracer_mol_m3,ambient_tracer_mol_m3,tracer_sum_mol_m3,source_fraction
8,9,8,308.5780025131785,0.5245343810314006,0.47546561896859946,1.0,0.5245343810314006
9,9,8,306.2713273340116,0.38573769390706936,0.6142623060929305,0.9999999999999999,0.3857376939070694
10,9,8,304.36113410876453,0.2626252326457506,0.7373747673542493,1.0,0.2626252326457506
11,9,8,302.8800772818986,0.16536169425503086,0.8346383057449691,1.0,0.16536169425503086
12,9,8,301.80435955315306,0.09632334168165013,0.9036766583183499,1.0,0.09632334168165013
13,9,8,301.0717536477818,0.051969276379894895,0.9480307236201052,1.0,0.051969276379894895
14,9,8,300.60339304978623,0.026014305243089886,0.9739856947569101,1.0,0.026014305243089886
15,9,8,300.32197706816567,0.012104989832259445,0.9878950101677405,1.0,0.012104989832259445
16,9,8,300.16286658175915,0.00524657903329489,0.9947534209667052,1.0,0.00524657903329489
17,9,8,300.07811600864494,0.002122345751035214,0.9978776542489649,1.0000000000000002,0.0021223457510352135
18,9,8,300.0355391076093,0.0008028308538079464,0.999197169146192,1.0,0.0008028308538079464
19,9,8,300.01534315356514,0.0002845100931194768,0.9997154899068806,1.0000000000000002,0.00028451009311947673
20,9,8,300.0062887379958,9.462060261262462e-5,0.9999053793973876,1.0000000000000002,9.46206026126246e-5
21,9,8,300.00244827653466,2.957911241620768e-5,0.9999704208875838,1.0,2.957911241620768e-5
22,9,8,300.0009057643453,8.704443126313733e-6,0.9999912955568737,1.0,8.704443126313733e-6
23,9,8,300.00031859228847,2.4146130389301974e-6,0.999997585386961,1.0,2.4146130389301974e-6
24,9,8,300.00010659147034,6.321938788107866e-7,0.9999993678061212,1.0,6.321938788107866e-7
25,9,8,300.0000339367606,1.56404171598909e-7,0.9999998435958283,0.9999999999999999,1.5640417159890903e-7
26,9,8,300.0000102863745,3.6601332610073824e-8,0.9999999633986673,0.9999999999999999,3.660133261007383e-8
27,9,8,300.000002969407,8.109793638950578e-9,0.999999991890206,0.9999999999999997,8.109793638950582e-9
28,9,8,300.0000008166782,1.702792971712255e-9,0.999999998297207,1.0,1.702792971712255e-9
29,9,8,300.0000002140675,3.390712996555482e-10,0.9999999996609288,1.0,3.390712996555482e-10
30,9,8,300.00000005349443,6.407676395069579e-11,0.9999999999359233,1.0,6.407676395069579e-11
31,9,8,300.00000001276373,1.149902185738056e-11,0.9999999999885011,1.0,1.149902185738056e-11
32,9,8,300.0000000031055,1.9633627853284084e-12,0.9999999999980368,1.0000000000000002,1.963362785328408e-12
1,9,9,309.51845939911743,0.009774641050266987,0.9902253589497331,1.0,0.009774641050266987
2,9,9,311.8694590280506,0.01900335291325665,0.9809966470867433,0.9999999999999999,0.019003352913256652
3,9,9,312.449088645759,0.027363295276364906,0.9726367047236348,0.9999999999999998,0.027363295276364913
4,9,9,312.00257433046653,0.034044665590547626,0.9659553344094522,0.9999999999999999,0.03404466559054763
5,9,9,310.903889889646,0.03801795557132951,0.9619820444286705,1.0,0.03801795557132951
6,9,9,309.40166009435046,0.038504057255766284,0.9614959427442338,1.0,0.038504057255766284
7,9,9,307.70509758897344,0.03546346042946946,0.9645365395705306,1.0,0.03546346042946946
8,9,9,305.99930001510955,0.029739315493876668,0.9702606845061235,1.0000000000000002,0.02973931549387666
9,9,9,304.43356361034563,0.022740889195268794,0.9772591108047313,1.0,0.022740889195268794
10,9,9,303.10693581451676,0.01589034979460183,0.9841096502053982,1.0,0.01589034979460183
11,9,9,302.0631534773101,0.010172847236676542,0.9898271527633236,1.0,0.010172847236676542
12,9,9,301.2976474042112,0.0059838859395563515,0.9940161140604438,1.0000000000000002,0.00598388593955635
13,9,9,300.77289231819145,0.003243697102137823,0.9967563028978623,1.0000000000000002,0.0032436971021378223
14,9,9,300.43593158880367,0.001625097350712759,0.9983749026492874,1.0000000000000002,0.0016250973507127586
15,9,9,300.23287631943083,0.0007545962379483636,0.9992454037620518,1.0000000000000002,0.0007545962379483633
16,9,9,300.11785944255814,0.00032560426696174704,0.9996743957330384,1.0000000000000002,0.000325604266961747
17,9,9,300.056532643742,0.0001308794439912596,0.9998691205560087,1.0,0.0001308794439912596
18,9,9,300.0257111328565,4.9118363457618446e-5,0.9999508816365423,1.0,4.9118363457618446e-5
19,9,9,300.01109274162445,1.7246998860507528e-5,0.9999827530011396,1.0,1.7246998860507528e-5
20,9,9,300.0045422493256,5.676894412011645e-6,0.9999943231055882,1.0000000000000002,5.6768944120116445e-6
21,9,9,300.0017661995611,1.7546677629254458e-6,0.9999982453322372,1.0000000000000002,1.7546677629254454e-6
22,9,9,300.00065247906326,5.101036464958847e-7,0.9999994898963536,1.0,5.101036464958847e-7
23,9,9,300.000229122565,1.3967938508460542e-7,0.9999998603206149,1.0,1.3967938508460542e-7
24,9,9,300.00007651602425,3.607366584357482e-8,0.9999999639263343,1.0000000000000002,3.6073665843574815e-8
25,9,9,300.000024311908,8.797375105048991e-9,0.999999991202625,1.0,8.797375105048991e-9
